HPLC System Name,Executed Sequence,Chromatogram Name,Acquisition Date,Peak Name,CH,tR,Corrected Quantity,Quantity,Factor,Area,Height,Area%,Height%,Sample Name,ISTD Name,ISTD Amount,Warning,Calibration Curve Expression,Description,Sample Description,NTP,Resolution,Separation Factor,Symmetry Factor,Retension Factor,t0,Peak Width,Additional Information,Sample #,Volume,Type,S/N,Calculated Value1,Calculated Value2,Calculated Value3,Calculated Value4,Calculated Value5,Calculated Value6,Calculated Value7,Calculated Value8,Calculated Value9,Calculated Value10,Decision,Peak Factor,True Value,Sample Weight,p/v,RRT,Relative Resolution,Area Ratio,Height Ratio
UCL HPLC,MBDoE BzAcid 2018 New Column 11/12/2018 2:02:22 PM,25,11/12/2018 16:51,Unknown,2,2.742,N/A,N/A,1,385079,94455,60.416,69.392,25,N/A,N/A,,,,,11115,20.505,N/A,1.218,N/A,0,0.061,,25,10,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 11/12/2018 2:02:22 PM,25,11/12/2018 16:51,Unknown,2,5.433,N/A,N/A,1,252298,41663,39.584,30.608,25,N/A,N/A,,,,,18634,N/A,N/A,1.042,N/A,0,0.094,,25,10,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,12 dec warmup,12/12/2018 9:52:49 AM,Unknown,2,2.708,N/A,N/A,1.00000,1696329,428680,100.000,100.000,1,N/A,N/A,,,,,11132,N/A,N/A,1.147,N/A,0.0000,0.060,,1,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,2,12/12/2018 9:59:49 AM,Unknown,2,2.725,N/A,N/A,1.00000,1647657,413945,100.000,100.000,2,N/A,N/A,,,,,11285,N/A,N/A,1.164,N/A,0.0000,0.060,,2,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,3,12/12/2018 10:06:50 AM,Unknown,2,2.733,N/A,N/A,1.00000,205342,48955,87.180,90.596,3,N/A,N/A,,,,,10092,20.273,N/A,1.167,N/A,0.0000,0.064,,3,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,3,12/12/2018 10:06:50 AM,Unknown,2,5.433,N/A,N/A,1.00000,30196,5082,12.820,9.404,3,N/A,N/A,,,,,18864,N/A,N/A,1.037,N/A,0.0000,0.093,,3,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,4,12/12/2018 10:13:50 AM,Unknown,2,2.717,N/A,N/A,1.00000,1300039,325314,100.000,100.000,4,N/A,N/A,,,,,11333,N/A,N/A,1.195,N/A,0.0000,0.060,,4,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,5,12/12/2018 10:20:50 AM,Unknown,2,2.717,N/A,N/A,1.00000,1875052,470705,100.000,100.000,5,N/A,N/A,,,,,10538,N/A,N/A,1.134,N/A,0.0000,0.062,,5,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,6,12/12/2018 10:27:49 AM,Unknown,2,2.733,N/A,N/A,1.00000,1972320,494693,100.000,100.000,6,N/A,N/A,,,,,10880,N/A,N/A,1.097,N/A,0.0000,0.062,,6,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
UCL HPLC,MBDoE BzAcid 2018 New Column 12/12/2018 9:50:58 AM,7,12/12/2018 10:34:50 AM,Unknown,2,2.733,N/A,N/A,1.00000,1940755,486936,100.000,100.000,7,N/A,N/A,,,,,11067,N/A,N/A,1.080,N/A,0.0000,0.061,,7,10.0,UNK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00000,N/A,N/A,N/A,N/A,N/A
